[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
288,2.14523675e-06
289,1.98840303e-06
290,2.07766652e-06
291,2.22051312e-06
292,2.28473777e-06
293,2.21640335e-06
294,2.10886355e-06
295,2.07605444e-06
296,1.97668282e-06
297,2.09271980e-06
298,2.14109195e-06
299,2.23990446e-06
300,2.37044264e-06
301,2.16697799e-06
302,2.12004329e-06
303,2.01572379e-06
304,2.10678377e-06
305,2.09488621e-06
306,2.02662136e-06
307,2.05233368e-06
308,1.99968508e-06
309,2.03243212e-06
310,2.02787305e-06
311,1.99535316e-06
312,2.01522994e-06
313,2.08204801e-06
314,1.99845385e-06
315,2.08050824e-06
316,1.99489818e-06
317,2.03512809e-06
318,1.98702696e-06
319,2.03844525e-06
320,2.00675981e-06
321,1.94679046e-06
322,1.94638983e-06
323,2.07461540e-06
324,2.02772799e-06
325,1.99752208e-06
326,1.98368411e-06
327,1.99812212e-06
328,2.10717781e-06
329,2.02085403e-06
330,2.20150696e-06
331,2.10697021e-06
332,2.17737261e-06
333,2.07385347e-06
334,2.05448555e-06
335,2.04613002e-06
336,1.95767279e-06
337,1.99432998e-06
338,2.02375691e-06
339,2.30215687e-06
340,2.32633488e-06
341,2.04303160e-06
342,2.03624086e-06
343,2.06333561e-06
344,2.10097437e-06
345,2.01155012e-06
346,1.98306498e-06
347,2.06879236e-06
348,2.07485186e-06
349,1.98966382e-06
350,2.03592936e-06
351,2.07974017e-06
352,2.07223820e-06
353,2.02797514e-06
354,2.07414223e-06
355,2.01351259e-06
356,1.98636894e-06
357,2.02281649e-06
358,2.09360928e-06
359,2.16195099e-06
360,1.96766655e-06
361,1.98519479e-06
362,2.01373041e-06
363,1.98356429e-06
364,2.12235545e-06
365,2.14490660e-06
366,2.16455396e-06
367,2.13842009e-06
368,2.05941956e-06
369,2.07739595e-06
370,2.14020997e-06
371,2.16327226e-06
372,2.14491183e-06
373,2.08283313e-06
374,1.92935909e-06
375,2.11625684e-06
376,1.98583280e-06
377,2.07046901e-06
378,2.10127018e-06
379,2.07918265e-06
380,2.05651327e-06
381,2.07065455e-06
382,2.03691229e-06
383,1.94598010e-06
384,1.92901871e-06
385,2.09747714e-06
386,2.08798747e-06
387,2.21087976e-06
388,2.20781408e-06
389,2.14573811e-06
390,2.03304967e-06
391,1.95771986e-06
392,2.06801360e-06
393,2.11347196e-06
394,2.09969016e-06
395,2.16822764e-06
396,2.24732048e-06
397,2.03417085e-06
398,1.99202213e-06
399,2.00380214e-06
400,1.92671769e-06
401,2.11630527e-06
402,2.12859709e-06
403,2.07768471e-06
404,2.10913254e-06
405,2.09909376e-06
406,1.97475993e-06
407,2.05456513e-06
408,2.22435574e-06
409,2.14930969e-06
410,2.05412061e-06
411,1.99571059e-06
412,2.14358511e-06
413,2.11134738e-06
414,2.04580419e-06
415,2.09630730e-06
416,2.03280547e-06
417,2.13605540e-06
418,2.18377590e-06
419,2.01235798e-06
420,2.09288055e-06
421,2.09283962e-06
422,2.01475427e-06
423,2.01286821e-06
424,2.01629791e-06
425,2.05128754e-06
426,2.17119646e-06
427,2.18310697e-06
428,2.01193780e-06
429,2.15420891e-06
430,2.19947538e-06
431,2.03456852e-06
432,2.13786734e-06
433,2.04763137e-06
434,2.06788900e-06
435,2.21279583e-06
436,2.08013535e-06
437,1.90739047e-06
438,2.01657781e-06
439,2.08865890e-06
440,2.10406984e-06
441,2.17114666e-06
442,1.97354188e-06
443,1.95734469e-06
444,2.00564159e-06
445,2.05810738e-06
446,1.99628994e-06
447,1.92176526e-06
448,2.00945351e-06
449,2.04404500e-06
450,2.07109611e-06
451,2.12358191e-06
452,2.09371456e-06
453,2.06672939e-06
454,2.01091962e-06
455,2.05511765e-06
456,1.99830652e-06
457,2.09072914e-06
458,2.11673228e-06
459,2.00237196e-06
460,1.92889570e-06
461,2.08025403e-06
462,2.23264283e-06
463,2.19904814e-06
464,2.11958900e-06
465,2.04053049e-06
466,2.07244011e-06
467,2.01550642e-06
468,2.06822438e-06
469,2.04779803e-06
470,2.07166704e-06
471,2.08805432e-06
472,2.14329111e-06
473,2.23040593e-06
474,2.00559180e-06
475,2.11421911e-06
476,2.10774692e-06
477,1.96921951e-06
478,1.95792927e-06
479,1.97955933e-06
480,1.92265816e-06
481,1.98843190e-06
482,2.04556613e-06
483,2.13016733e-06
484,2.07761855e-06
485,1.98878297e-06
486,2.05376818e-06
487,2.11459655e-06
488,1.99724241e-06
489,2.12367945e-06
490,2.04942808e-06
491,2.10287703e-06
492,2.19413255e-06
493,2.22857329e-06
494,2.07893595e-06
495,2.07990752e-06
496,2.17288357e-06
497,2.14405691e-06
498,1.90398578e-06
499,2.05638185e-06
500,1.99367832e-06
501,1.96881297e-06
502,1.98984799e-06
503,2.09693849e-06
504,2.04968865e-06
505,2.05933975e-06
506,2.01246417e-06
507,1.98185921e-06
508,2.15238379e-06
509,2.12323766e-06
510,2.15345881e-06
511,2.11740985e-06
512,2.10817075e-06
513,2.20600282e-06
514,2.27240548e-06
515,2.07362837e-06
516,2.00641784e-06
517,2.23017582e-06
518,1.98458497e-06
519,2.12234613e-06
520,2.18330456e-06
521,2.11485576e-06
522,2.09836617e-06
523,2.21449159e-06
524,2.14117517e-06
525,2.12280179e-06
526,2.01976627e-06
527,2.03014793e-06
528,2.05448237e-06
529,2.24477867e-06
530,2.11530732e-06
531,2.06231221e-06
532,2.16997933e-06
533,2.07150833e-06
534,2.07262406e-06
535,2.11270481e-06
536,1.99233500e-06
537,2.04701882e-06
538,1.92009566e-06
539,1.99921487e-06
540,2.02418209e-06
541,2.06721688e-06
542,2.09346740e-06
543,2.27062037e-06
544,2.18606851e-06
545,2.06011919e-06
546,2.22915742e-06
547,2.42074088e-06
548,2.22635344e-06
549,2.10902112e-06
550,2.18685000e-06
551,2.25262102e-06
552,2.19436606e-06
553,2.26650559e-06
554,2.30832984e-06
555,2.10820667e-06
556,2.16733883e-06
557,2.22538574e-06
558,2.20540619e-06
559,2.21884375e-06
560,2.08544043e-06
561,1.99528608e-06
562,1.95111284e-06
563,2.02567435e-06
564,2.06658524e-06
565,2.05531751e-06
566,2.01743751e-06
567,2.00681893e-06
568,1.98823500e-06
569,2.05604260e-06
570,2.01540024e-06
571,2.01799958e-06
572,2.04616435e-06
573,2.14048305e-06
574,2.06632740e-06
575,1.98513385e-06
576,1.95663620e-06
577,1.98645466e-06
578,2.07936728e-06
579,2.06558434e-06
580,2.17040929e-06
581,2.16820786e-06
582,2.04202047e-06
583,1.95230200e-06
584,2.06166260e-06
585,2.09719451e-06
586,2.12374221e-06
587,2.14204260e-06
588,1.99353349e-06
589,2.09030145e-06
590,2.17956472e-06
591,2.38501343e-06
592,2.14682950e-06
593,1.99692545e-06
594,2.06145137e-06
595,2.02984666e-06
596,2.08762549e-06
597,2.19791968e-06
598,2.22619656e-06
599,2.14074998e-06
600,2.10172470e-06
601,2.09775453e-06
602,2.12482814e-06
603,2.03179661e-06
604,2.02568526e-06
605,2.14436363e-06
606,2.13285398e-06
607,2.10613939e-06
608,2.09836844e-06
609,2.05990955e-06
610,2.13035355e-06
611,2.17297725e-06
612,2.16449871e-06
613,2.18511877e-06
614,2.15773616e-06
615,2.13671410e-06
616,2.05015976e-06
617,2.05267725e-06
618,2.03379273e-06
619,2.16797662e-06
620,2.18574951e-06
621,2.02585488e-06
622,2.15808586e-06
623,2.28285421e-06
624,2.19402796e-06
625,2.22280119e-06
626,2.05612037e-06
627,2.04022854e-06
628,2.05766787e-06
629,2.13054659e-06
630,2.01045737e-06
631,1.98628891e-06
632,1.99786950e-06
633,2.35381367e-06
634,2.55598229e-06
635,2.17645038e-06
636,2.34299046e-06
637,2.23818984e-06
638,2.03691138e-06
639,2.05981496e-06
640,2.06032496e-06
641,2.04204048e-06
642,2.18525361e-06
643,2.09903601e-06
644,1.93094434e-06
645,1.96333326e-06
646,2.07245057e-06
647,2.05501556e-06
648,1.98519615e-06
649,1.98568887e-06
650,2.21066489e-06
651,1.98946782e-06
652,2.01080024e-06
653,1.96730571e-06
654,2.01011039e-06
655,2.01100966e-06
656,2.03935087e-06
657,1.98706994e-06
658,2.04133403e-06
659,2.02807928e-06
660,2.11109705e-06
661,2.15389127e-06
662,2.15669729e-06
663,2.02906017e-06
664,2.01758462e-06
665,2.13232488e-06
666,2.19683830e-06
667,2.05419906e-06
668,2.24253631e-06
669,2.30841601e-06
670,2.18116543e-06
671,2.16372814e-06
672,2.17467823e-06
673,2.27081864e-06
674,2.18694777e-06
675,2.22044991e-06
676,2.11832548e-06
677,2.14346869e-06
678,2.19038634e-06
679,2.10982353e-06
680,2.06506957e-06
681,1.99547321e-06
682,2.11223210e-06
683,1.97288227e-06
684,2.13533008e-06
685,2.04864091e-06
686,1.96572796e-06
687,2.06139703e-06
688,2.01132138e-06
689,2.04892945e-06
690,2.07019571e-06
691,2.18344576e-06
692,2.08713141e-06
693,2.05838637e-06
694,1.99464148e-06
695,1.93606752e-06
696,2.00619343e-06
697,2.03903892e-06
698,2.15727027e-06
699,2.04097046e-06
700,1.99030751e-06
701,2.10770827e-06
702,2.10822100e-06
703,2.10253529e-06
704,2.08023130e-06
705,2.13524459e-06
706,2.16448916e-06
707,2.18549781e-06
708,2.18693117e-06
709,2.04707771e-06
710,2.11258589e-06
711,2.09881910e-06
712,2.15497880e-06
713,2.14920283e-06
714,2.08535562e-06
715,2.08313782e-06
716,2.08683127e-06
717,2.06708910e-06
718,2.17611569e-06
719,2.28614977e-06
720,2.17399747e-06
721,2.11357224e-06
722,2.13648559e-06
723,2.17637057e-06
724,2.16517788e-06
