[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","MAX K-TurbKE","MAX O-TurbFreq"
688,8.24426206e-06,3.11097392e-05
689,1.00768984e-05,1.76115136e-05
690,9.00086525e-06,1.74563338e-05
691,7.61771980e-06,2.08602469e-05
692,1.03038446e-05,1.99248771e-05
693,9.86768282e-06,1.75765290e-05
694,8.40139819e-06,1.43353864e-05
695,8.54164955e-06,1.44443438e-05
696,8.48038599e-06,1.50181286e-05
697,8.01550777e-06,1.93905580e-05
698,8.95425273e-06,1.66316131e-05
699,7.01955605e-06,1.90625778e-05
700,7.33392790e-06,1.44819342e-05
701,7.76404522e-06,2.33959163e-05
702,7.49528317e-06,1.51055556e-05
703,7.74494856e-06,2.12937230e-05
704,8.06074786e-06,3.09214192e-05
705,8.93333981e-06,2.66561656e-05
706,8.87034730e-06,2.15905711e-05
707,8.66299069e-06,1.54399495e-05
708,8.96522943e-06,1.37405987e-05
709,8.60353794e-06,2.11325005e-05
710,8.01771876e-06,1.61439420e-05
711,9.48915476e-06,1.32591222e-05
712,8.09591620e-06,2.72527177e-05
713,8.27729491e-06,2.20447291e-05
714,8.24338804e-06,1.54049339e-05
715,9.74097202e-06,1.84835044e-05
716,8.98331382e-06,1.69254254e-05
717,8.02654631e-06,1.82824406e-05
718,8.76204649e-06,2.26953671e-05
719,1.43469006e-05,1.62344295e-05
720,1.39711401e-05,2.26321481e-05
721,1.37876323e-05,2.30751684e-05
722,1.32758778e-05,2.14102638e-05
723,1.15276343e-05,2.20307429e-05
724,1.03134435e-05,1.71432948e-05
725,9.33131105e-06,1.81131254e-05
726,9.75985949e-06,1.84887667e-05
727,8.93257402e-06,2.15198670e-05
728,8.79698382e-06,1.46614630e-05
729,1.38215210e-05,1.70637995e-05
730,1.08537733e-05,1.85690096e-05
731,1.14035583e-05,1.63849927e-05
732,1.09795701e-05,1.75575642e-05
733,1.00032012e-05,2.44956464e-05
734,8.97720838e-06,1.87097903e-05
735,7.87194676e-06,1.38226114e-05
736,8.55689632e-06,1.79813906e-05
737,9.10347990e-06,1.74570687e-05
738,7.98075598e-06,1.71404754e-05
739,9.28661029e-06,2.13529856e-05
740,9.37686127e-06,1.94017775e-05
741,7.87811405e-06,1.89078328e-05
742,8.49217577e-06,2.45399260e-05
743,7.08393327e-06,1.70528037e-05
744,6.96005964e-06,2.02844149e-05
745,6.48893729e-06,1.68646384e-05
746,9.79865126e-06,2.49042332e-05
747,7.68229620e-06,2.43819886e-05
748,8.38131837e-06,1.30263043e-05
749,8.33940976e-06,1.97175123e-05
750,6.76739046e-06,1.65496785e-05
751,7.95187680e-06,1.63323621e-05
752,7.78805315e-06,1.53343481e-05
753,8.33152353e-06,3.11462318e-05
754,8.74347370e-06,1.63494969e-05
755,7.41757822e-06,2.59797725e-05
756,1.03262337e-05,1.66049904e-05
757,7.91884941e-06,1.75382429e-05
758,6.98439726e-06,2.01512357e-05
759,7.24296478e-06,1.48797926e-05
760,6.29767146e-06,1.95289012e-05
761,8.14467148e-06,3.62816645e-05
762,6.82899508e-06,1.68735078e-05
763,1.05262870e-05,2.20941274e-05
764,7.62781838e-06,1.98051130e-05
765,9.13595068e-06,1.67328963e-05
766,8.69858195e-06,1.58068069e-05
767,7.37023447e-06,1.56764781e-05
768,6.65721473e-06,2.16940007e-05
769,8.32141723e-06,2.50890607e-05
770,9.15557939e-06,2.29088600e-05
771,6.82385917e-06,1.87521200e-05
772,9.73343140e-06,1.84213241e-05
773,7.93619347e-06,1.83244119e-05
774,8.52382163e-06,1.81892246e-05
775,8.17748150e-06,1.75618497e-05
776,1.11116397e-05,2.13739659e-05
777,8.15461590e-06,1.70821440e-05
778,8.72531200e-06,1.99723563e-05
779,8.88812428e-06,1.56141377e-05
780,1.01158057e-05,1.69177329e-05
781,1.11341878e-05,1.52630018e-05
782,1.14751929e-05,1.93358646e-05
783,1.22304473e-05,2.42014175e-05
784,1.27873636e-05,2.21859154e-05
785,1.15455214e-05,2.16298231e-05
786,1.00472589e-05,1.52405328e-05
787,1.18196076e-05,1.22985457e-05
788,1.45781787e-05,1.87345522e-05
789,1.41273331e-05,1.78009359e-05
790,1.28812089e-05,1.59217198e-05
791,1.20326849e-05,1.31028883e-05
792,9.97277039e-06,1.69166015e-05
793,8.42609279e-06,2.07512949e-05
794,1.15986641e-05,1.56370443e-05
795,9.68099903e-06,1.86151392e-05
796,9.70923611e-06,1.89449165e-05
797,1.08036047e-05,1.58976254e-05
798,9.29783801e-06,2.50425855e-05
799,1.01761270e-05,2.26800385e-05
800,6.68272787e-06,2.51150941e-05
801,8.62055731e-06,1.58880412e-05
802,7.55936389e-06,2.09864829e-05
803,7.50480740e-06,2.44615712e-05
804,8.63701189e-06,2.63629590e-05
805,1.02676313e-05,2.27500441e-05
806,5.89389492e-06,1.60277032e-05
807,9.87044859e-06,1.29965119e-05
808,8.53234633e-06,2.44596431e-05
809,8.44129318e-06,2.05907490e-05
810,8.10871097e-06,1.51500453e-05
811,6.25168150e-06,1.32773303e-05
812,8.65988022e-06,1.75142086e-05
813,1.07343876e-05,2.55457671e-05
814,6.47188517e-06,2.01029525e-05
815,7.65113418e-06,2.26789525e-05
816,7.36749325e-06,2.51675992e-05
817,1.11794452e-05,1.62353354e-05
818,8.24269682e-06,1.74139113e-05
819,6.63230321e-06,1.72864820e-05
820,6.94938399e-06,1.79950584e-05
821,1.16233950e-05,2.52277914e-05
822,7.28271607e-06,1.85713343e-05
823,8.15784006e-06,2.09875761e-05
824,8.37790867e-06,3.12359771e-05
825,7.74085311e-06,2.49175118e-05
826,8.49479238e-06,2.08301262e-05
827,8.69450105e-06,2.46849013e-05
828,1.04140909e-05,1.62182241e-05
829,8.72127566e-06,1.94457298e-05
830,7.55642623e-06,1.74184570e-05
