[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","MAX K-TurbKE","MAX O-TurbFreq"
157,3.05911351e-04,2.55809777e-04
158,2.67111347e-04,2.25297787e-04
159,2.29151599e-04,1.95735833e-04
160,1.91041341e-04,1.67462771e-04
161,1.58150535e-04,1.49186802e-04
162,1.35430790e-04,1.48783642e-04
163,1.22406607e-04,1.44957041e-04
164,1.16555493e-04,1.38915071e-04
165,1.12462461e-04,1.35451104e-04
166,1.10923553e-04,1.36940973e-04
167,1.10010369e-04,1.34161513e-04
168,1.10679714e-04,1.32872272e-04
169,1.08997730e-04,1.29488602e-04
170,1.05782463e-04,1.22681595e-04
171,9.82767306e-05,1.17163640e-04
172,8.49624776e-05,1.04396029e-04
173,7.93415384e-05,9.09837254e-05
174,8.30817007e-05,9.34456548e-05
175,8.74339894e-05,1.01460770e-04
176,8.98549333e-05,1.09918947e-04
177,8.89362855e-05,1.11288064e-04
178,8.92735770e-05,1.05809988e-04
179,8.57810446e-05,9.94459260e-05
180,7.97718167e-05,8.92151875e-05
181,7.44681165e-05,8.31330763e-05
182,7.43627243e-05,8.20453861e-05
183,7.68869286e-05,8.52673838e-05
184,7.99993431e-05,9.01795720e-05
185,7.87561003e-05,9.31195536e-05
186,7.37671653e-05,9.05415654e-05
187,6.76801137e-05,8.26874675e-05
188,6.11544237e-05,7.72903513e-05
189,5.98004299e-05,6.84293627e-05
190,6.38816127e-05,6.37008998e-05
191,6.60618753e-05,6.45080581e-05
192,6.80559169e-05,6.78904398e-05
193,6.82436003e-05,6.96621137e-05
194,6.75268748e-05,6.99840675e-05
195,6.43086532e-05,6.89369044e-05
196,6.21988147e-05,6.77287171e-05
197,6.10137868e-05,6.53125680e-05
198,6.02812797e-05,6.23326778e-05
199,5.86204042e-05,5.99597988e-05
200,5.87271534e-05,5.85474590e-05
201,5.89850752e-05,5.85473317e-05
202,5.93732402e-05,5.79057523e-05
203,5.66286071e-05,5.75834638e-05
204,5.43889000e-05,5.62947898e-05
205,5.22472365e-05,5.30732214e-05
206,4.91987194e-05,5.13415944e-05
207,4.58622017e-05,4.92476029e-05
208,4.44392572e-05,4.77978683e-05
209,4.26119368e-05,4.67910977e-05
210,4.03589329e-05,4.17173105e-05
211,3.98003867e-05,4.18379932e-05
212,3.90981622e-05,4.18379059e-05
213,3.87086548e-05,4.28847889e-05
214,3.60342528e-05,4.29249849e-05
215,3.67480316e-05,3.91397516e-05
216,3.74574593e-05,4.04684797e-05
217,3.68198525e-05,4.13945199e-05
218,3.45824956e-05,3.99045239e-05
219,3.30346957e-05,3.57569552e-05
220,3.07011251e-05,3.49918155e-05
221,3.11675576e-05,3.47904315e-05
222,3.02061653e-05,3.40655388e-05
223,2.94696056e-05,3.15286525e-05
224,2.88039828e-05,3.30586518e-05
225,2.69959128e-05,3.07634073e-05
226,2.62070480e-05,2.96761609e-05
227,2.50661051e-05,2.89110158e-05
228,2.38544235e-05,2.66963034e-05
229,2.39879173e-05,2.60117195e-05
230,2.29382294e-05,2.74611957e-05
231,2.20627699e-05,2.58505133e-05
232,2.04664248e-05,2.41996167e-05
233,1.95147259e-05,2.19447084e-05
234,1.86354100e-05,2.38228549e-05
235,1.75493733e-05,1.99716214e-05
236,1.72614036e-05,1.90941282e-05
237,1.75001605e-05,1.72332348e-05
238,1.72912933e-05,2.76392657e-05
239,1.67270700e-05,1.87094902e-05
240,1.68750939e-05,1.52394141e-05
241,1.65901984e-05,2.54389834e-05
242,1.63714267e-05,1.94844379e-05
243,1.66407517e-05,2.74538452e-05
244,1.65940310e-05,2.09501322e-05
245,1.72211639e-05,1.68491079e-05
246,1.57688883e-05,1.48561476e-05
247,1.62867564e-05,2.05368124e-05
248,1.60727177e-05,2.54272782e-05
249,1.65296369e-05,1.49567086e-05
250,1.56093920e-05,1.76995782e-05
251,1.57642262e-05,3.10780742e-05
252,1.63804089e-05,2.14886222e-05
253,1.55336129e-05,2.47663102e-05
254,1.61908993e-05,2.47994722e-05
255,1.62562064e-05,1.84532400e-05
256,1.60816853e-05,1.66145564e-05
257,1.57307095e-05,1.81717896e-05
258,1.52108796e-05,2.28265071e-05
259,1.49706930e-05,1.85739209e-05
260,1.48955123e-05,1.96109613e-05
261,1.54804929e-05,1.84424862e-05
262,1.53162928e-05,1.56676615e-05
263,1.54948575e-05,2.01441235e-05
264,1.56926399e-05,1.58806288e-05
265,1.55967628e-05,1.81544710e-05
266,1.64996854e-05,1.29651226e-05
267,1.52124940e-05,1.98305552e-05
268,1.57284048e-05,1.61275075e-05
269,1.61592252e-05,2.48274937e-05
270,1.60862764e-05,2.30637252e-05
271,1.56357255e-05,2.10436647e-05
272,1.54544159e-05,2.61832938e-05
273,1.52837329e-05,1.54997670e-05
274,1.43103834e-05,1.95355751e-05
275,1.50599444e-05,2.32311577e-05
276,1.50310116e-05,2.38412395e-05
277,1.52282337e-05,2.23539882e-05
278,1.54111713e-05,2.19260455e-05
279,1.52340326e-05,1.71319953e-05
280,1.43852067e-05,2.16551125e-05
281,1.37740062e-05,1.70450003e-05
282,1.41311893e-05,2.53911730e-05
283,1.51520780e-05,2.51917809e-05
284,1.40876664e-05,2.95764858e-05
285,1.37300858e-05,2.93035209e-05
286,1.54294430e-05,2.23575225e-05
287,1.47343972e-05,2.41914622e-05
288,1.48539129e-05,1.59604406e-05
289,1.40918264e-05,1.82447984e-05
290,1.43474872e-05,1.51920021e-05
291,1.42204626e-05,3.00071315e-05
292,1.37007928e-05,2.55517170e-05
293,1.35624123e-05,1.33467674e-05
294,1.43035177e-05,1.60716609e-05
295,1.44986652e-05,1.79052422e-05
296,1.42969939e-05,1.32062223e-05
297,1.39229314e-05,1.30575800e-05
298,1.36765393e-05,2.23284824e-05
299,1.31898496e-05,2.62156827e-05
300,1.27425037e-05,2.13272779e-05
301,1.31469587e-05,1.99299448e-05
302,1.38519026e-05,2.36318701e-05
303,1.22632382e-05,1.67349972e-05
304,1.21476396e-05,1.92292482e-05
305,1.29836972e-05,2.61880250e-05
306,1.27253552e-05,1.72487562e-05
307,1.27108442e-05,1.65607235e-05
308,1.30841672e-05,1.50515043e-05
309,1.33636731e-05,1.17479658e-05
310,1.26653067e-05,1.17891350e-05
311,1.21952626e-05,2.58364689e-05
312,1.21467592e-05,2.40767986e-05
313,1.23878617e-05,2.22939325e-05
314,1.25302449e-05,1.81952873e-05
315,1.16529500e-05,1.60319178e-05
316,1.25596707e-05,2.17691322e-05
317,1.20120812e-05,1.85638237e-05
318,1.23131031e-05,1.75583446e-05
319,1.16807414e-05,1.35549863e-05
320,1.19248098e-05,1.57185477e-05
321,1.20779232e-05,1.33435278e-05
322,1.05941726e-05,1.78051923e-05
323,1.11242953e-05,3.74309238e-05
324,1.13575497e-05,1.45561226e-05
325,1.24883691e-05,1.70072963e-05
326,1.18576272e-05,1.92119078e-05
327,1.11915606e-05,1.47675464e-05
328,1.06741218e-05,1.89333168e-05
329,1.15786452e-05,1.83491848e-05
330,1.16793844e-05,2.02695719e-05
331,1.07962160e-05,2.01018229e-05
332,1.17151812e-05,2.39300625e-05
333,1.11959116e-05,1.84783821e-05
334,1.10139708e-05,1.58789117e-05
335,1.16820984e-05,1.93027881e-05
336,1.15780294e-05,1.50421502e-05
337,1.16529827e-05,1.81634514e-05
338,1.10520132e-05,1.98848411e-05
339,1.13784890e-05,3.31471419e-05
340,1.07290252e-05,1.91935760e-05
341,1.12030593e-05,1.83341708e-05
342,1.02238346e-05,2.35016432e-05
343,1.10716683e-05,1.44832647e-05
344,1.02041422e-05,1.13147098e-05
345,1.03202628e-05,2.12633786e-05
346,1.07199421e-05,1.92353637e-05
347,8.85543977e-06,2.25051772e-05
348,1.01089954e-05,1.25181423e-05
349,1.02098456e-05,1.84560577e-05
350,1.44325086e-05,2.81624671e-05
351,1.01377427e-05,1.25422384e-05
352,1.00384850e-05,2.19844751e-05
353,9.53670860e-06,2.23335119e-05
354,8.71973862e-06,1.86467605e-05
355,9.40289101e-06,1.76909762e-05
356,9.00691339e-06,1.85883382e-05
357,8.39467702e-06,2.13985240e-05
358,1.04265773e-05,1.66239970e-05
359,9.37957066e-06,1.58397488e-05
360,8.09455651e-06,1.52625635e-05
361,8.25024017e-06,2.24519572e-05
362,8.90657157e-06,1.84800865e-05
363,8.94062578e-06,2.52681857e-05
364,9.63699949e-06,2.28171157e-05
365,8.20226614e-06,2.26800512e-05
366,7.63711341e-06,2.63246675e-05
367,8.17311411e-06,1.30590424e-05
368,1.17753161e-05,2.61825116e-05
369,9.75708735e-06,2.36800843e-05
370,9.66536663e-06,3.67619577e-05
371,9.59259796e-06,2.57312549e-05
372,7.92857554e-06,1.67437483e-05
373,7.69439157e-06,1.99119731e-05
374,6.73165641e-06,1.19691831e-05
375,8.59399006e-06,1.42269464e-05
376,1.05884892e-05,1.44083579e-05
377,8.61489389e-06,1.65411384e-05
378,8.89856256e-06,1.45530976e-05
379,1.05391464e-05,1.08935719e-05
380,9.53378640e-06,1.55420039e-05
381,8.83283155e-06,1.53853543e-05
382,7.09075948e-06,2.14065458e-05
383,8.68749794e-06,2.30864243e-05
384,6.63704486e-06,2.16887984e-05
385,9.75373405e-06,2.37585282e-05
386,7.78485173e-06,2.93831818e-05
387,1.24585413e-05,2.64387090e-05
388,9.76363117e-06,2.26455995e-05
389,6.77004846e-06,1.35708678e-05
390,8.66139726e-06,1.70984349e-05
391,7.96963286e-06,2.07046724e-05
392,7.34761807e-06,3.32627606e-05
393,9.33318279e-06,3.16024525e-05
394,5.91989647e-06,1.62825072e-05
395,8.89672174e-06,1.89669881e-05
396,6.75274214e-06,1.73722638e-05
397,9.24700089e-06,1.29124701e-05
398,6.37733456e-06,1.46539414e-05
399,8.36383606e-06,1.21195862e-05
400,6.31940429e-06,1.88686208e-05
401,1.04414275e-05,2.30601781e-05
402,7.74921500e-06,1.29758673e-05
403,7.82670577e-06,1.78541359e-05
404,7.17437615e-06,1.91968738e-05
405,7.35977846e-06,1.46172033e-05
406,8.77272669e-06,1.79770814e-05
407,6.52231938e-06,2.08201018e-05
408,7.25368272e-06,2.31919403e-05
409,7.49175524e-06,2.16155568e-05
410,8.79956769e-06,1.59583924e-05
411,6.17215937e-06,2.03678155e-05
412,9.85934639e-06,1.44460901e-05
413,9.54233292e-06,1.46259626e-05
414,6.97730820e-06,1.84156652e-05
415,7.80767459e-06,2.05257311e-05
416,1.22392148e-05,2.07144622e-05
417,7.05278853e-06,2.11225033e-05
418,6.05872538e-06,1.93296601e-05
419,7.11660095e-06,1.54973332e-05
420,7.37228174e-06,1.88573813e-05
421,7.62075979e-06,1.20438581e-05
422,6.18639660e-06,1.96709043e-05
