[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
288,1.24039627e-06
289,1.22401059e-06
290,1.22350377e-06
291,1.23127745e-06
292,1.26236557e-06
293,1.31247975e-06
294,1.34706727e-06
295,1.43311638e-06
296,1.31777495e-06
297,1.41434850e-06
298,1.29407204e-06
299,1.19965364e-06
300,1.19374090e-06
301,1.18433366e-06
302,1.19616686e-06
303,1.20733887e-06
304,1.20494553e-06
305,1.21704988e-06
306,1.23967266e-06
307,1.25023928e-06
308,1.25890097e-06
309,1.25692600e-06
310,1.23368045e-06
311,1.22675783e-06
312,1.21216692e-06
313,1.21472613e-06
314,1.23567986e-06
315,1.25245947e-06
316,1.31620811e-06
317,1.41242219e-06
318,1.49323000e-06
319,1.39554231e-06
320,1.47428977e-06
321,1.37611107e-06
322,1.23227323e-06
323,1.19164713e-06
324,1.18397907e-06
325,1.17113643e-06
326,1.18180151e-06
327,1.20030654e-06
328,1.23297457e-06
329,1.25385543e-06
330,1.29397995e-06
331,1.31909883e-06
332,1.30618412e-06
333,1.27260478e-06
334,1.23690199e-06
335,1.22783308e-06
336,1.24052133e-06
337,1.25082431e-06
338,1.27085775e-06
339,1.31175705e-06
340,1.42948466e-06
341,1.56226804e-06
342,1.68455915e-06
343,1.44141188e-06
344,1.52532107e-06
345,1.31442596e-06
346,1.21213816e-06
347,1.19865820e-06
348,1.18456398e-06
349,1.18785624e-06
350,1.21123981e-06
351,1.24125165e-06
352,1.29222076e-06
353,1.33252581e-06
354,1.39305291e-06
355,1.40498059e-06
356,1.40944906e-06
357,1.35072480e-06
358,1.29253112e-06
359,1.28678175e-06
360,1.27702708e-06
361,1.27252861e-06
362,1.34227685e-06
363,1.42525391e-06
364,1.52791699e-06
365,1.70019382e-06
366,1.83005750e-06
367,1.55813359e-06
368,1.63025152e-06
369,1.42395618e-06
370,1.26539942e-06
371,1.22486722e-06
372,1.20360949e-06
373,1.19927915e-06
374,1.20870482e-06
375,1.25492170e-06
376,1.29705916e-06
377,1.35357880e-06
378,1.36596657e-06
379,1.39133033e-06
380,1.43184604e-06
381,1.37819995e-06
382,1.34639868e-06
383,1.35599612e-06
384,1.28611907e-06
385,1.33328501e-06
386,1.41115243e-06
387,1.48250592e-06
388,1.69008524e-06
389,1.65498273e-06
390,1.72236378e-06
391,1.98321914e-06
392,1.50185235e-06
393,1.30412707e-06
394,1.25933957e-06
395,1.23359121e-06
396,1.23317318e-06
397,1.21835888e-06
398,1.26402415e-06
399,1.31313050e-06
400,1.34686161e-06
401,1.35263917e-06
402,1.36863389e-06
403,1.38465316e-06
404,1.38177904e-06
405,1.34773427e-06
406,1.35097548e-06
407,1.29308512e-06
408,1.30508067e-06
409,1.38805342e-06
410,1.52158680e-06
411,1.65222286e-06
412,1.85157262e-06
413,1.77964978e-06
414,1.76469518e-06
415,1.79452832e-06
416,1.53561746e-06
417,1.31375259e-06
418,1.30222736e-06
419,1.29525927e-06
420,1.23204802e-06
421,1.24406802e-06
422,1.27638884e-06
423,1.33125332e-06
424,1.39383576e-06
425,1.40340023e-06
426,1.43609566e-06
427,1.43339958e-06
428,1.39082579e-06
429,1.37963798e-06
430,1.39825931e-06
431,1.33612070e-06
432,1.38615769e-06
433,1.47017442e-06
434,1.59707815e-06
435,1.75874038e-06
436,1.81520033e-06
437,1.71706324e-06
438,1.80972756e-06
439,1.56458952e-06
440,1.37492293e-06
441,1.34086417e-06
442,1.34445645e-06
443,1.30351827e-06
444,1.26814757e-06
445,1.31322656e-06
446,1.37620123e-06
447,1.48336517e-06
448,1.51827544e-06
449,1.57077727e-06
450,1.54771976e-06
451,1.49584434e-06
452,1.40048871e-06
453,1.44185083e-06
454,1.33245840e-06
455,1.42116301e-06
456,1.49827918e-06
457,1.62657898e-06
458,1.80570510e-06
459,1.91058052e-06
460,1.94451923e-06
461,1.95312964e-06
462,1.89030050e-06
463,1.67956568e-06
464,1.37949110e-06
465,1.36945312e-06
466,1.33654203e-06
467,1.24615701e-06
468,1.27625697e-06
469,1.33881611e-06
470,1.37888696e-06
471,1.45242029e-06
472,1.52051916e-06
473,1.59418312e-06
474,1.55762496e-06
475,1.51175675e-06
476,1.44825572e-06
477,1.39573717e-06
