[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","RMS K-TurbKE","RMS O-TurbFreq"
157,5.00001215e-06,5.05262142e-06
158,4.78389029e-06,4.88842988e-06
159,4.57806709e-06,4.84178963e-06
160,4.41926159e-06,4.70900568e-06
161,4.30802311e-06,4.46953163e-06
162,4.22212906e-06,4.14841315e-06
163,4.13875750e-06,3.70675821e-06
164,4.05046376e-06,3.40808356e-06
165,4.01562011e-06,3.70804582e-06
166,4.06233039e-06,4.64190907e-06
167,4.23026086e-06,5.47959780e-06
168,4.44464422e-06,5.83882911e-06
169,4.54217752e-06,5.47060745e-06
170,4.46035210e-06,4.58363638e-06
171,4.23435222e-06,3.59135129e-06
172,3.92118864e-06,2.78798689e-06
173,3.57511499e-06,2.87670764e-06
174,3.32930472e-06,3.32510649e-06
175,3.15559987e-06,3.27922453e-06
176,3.09738425e-06,2.92724167e-06
177,3.16306682e-06,2.78644120e-06
178,3.17924605e-06,2.69797215e-06
179,3.05164190e-06,2.53077542e-06
180,3.04487253e-06,2.58523187e-06
181,2.92793015e-06,2.52644986e-06
182,2.86232171e-06,2.51219376e-06
183,2.80480413e-06,2.48746437e-06
184,2.76037076e-06,2.43103318e-06
185,2.72754505e-06,2.24593055e-06
186,2.69688871e-06,2.20217134e-06
187,2.66286111e-06,1.86355521e-06
188,2.61470632e-06,1.76510127e-06
189,2.58221917e-06,1.92071911e-06
190,2.58521391e-06,2.44963212e-06
191,2.65225322e-06,2.92226559e-06
192,2.78121388e-06,3.27359953e-06
193,2.89646459e-06,3.47046603e-06
194,2.94179836e-06,3.23423433e-06
195,2.90862022e-06,2.67736004e-06
196,2.79916594e-06,2.09827090e-06
197,2.62283447e-06,1.75441687e-06
198,2.45424667e-06,1.55065368e-06
199,2.31059062e-06,1.66457812e-06
200,2.23074107e-06,1.81802227e-06
201,2.18623222e-06,1.90420315e-06
202,2.25460349e-06,1.93684195e-06
203,2.22771951e-06,1.94114750e-06
204,2.32517345e-06,1.92721245e-06
205,2.18703485e-06,1.90010905e-06
206,2.18276114e-06,1.80126949e-06
207,2.14166676e-06,1.84813098e-06
208,2.09884956e-06,1.78196660e-06
209,2.04769162e-06,1.60123011e-06
210,1.98972270e-06,1.47203332e-06
211,1.92889456e-06,1.30943272e-06
212,1.85951296e-06,1.13723138e-06
213,1.80232553e-06,1.04042169e-06
214,1.75931280e-06,1.13637327e-06
215,1.75497814e-06,1.36455890e-06
216,1.80514314e-06,1.79672281e-06
217,1.87742603e-06,2.10211965e-06
218,1.97227291e-06,2.25384520e-06
219,2.00791169e-06,2.20138099e-06
220,2.00126783e-06,1.89856223e-06
221,1.96033602e-06,1.60836532e-06
222,1.84251996e-06,1.18453409e-06
223,1.72063244e-06,8.22438381e-07
224,1.61998798e-06,9.27678116e-07
