[Name]
Plot Monitor 1

[Data]
"Accumulated Timestep","U-Mom Boundary Flow on INLET"
287,6.45671000e+05
288,6.45672250e+05
289,6.45673500e+05
290,6.45674812e+05
291,6.45676125e+05
292,6.45677562e+05
293,6.45679000e+05
294,6.45680438e+05
295,6.45681938e+05
296,6.45683500e+05
297,6.45685062e+05
298,6.45686625e+05
299,6.45688250e+05
300,6.45689875e+05
301,6.45691500e+05
302,6.45693125e+05
303,6.45694750e+05
304,6.45696375e+05
305,6.45698000e+05
306,6.45699625e+05
307,6.45701250e+05
308,6.45702812e+05
309,6.45704375e+05
310,6.45705938e+05
311,6.45707500e+05
312,6.45709000e+05
313,6.45710500e+05
314,6.45712000e+05
315,6.45713500e+05
316,6.45714938e+05
317,6.45716375e+05
318,6.45717812e+05
319,6.45719250e+05
320,6.45720688e+05
321,6.45722062e+05
322,6.45723438e+05
323,6.45724812e+05
324,6.45726188e+05
325,6.45727562e+05
326,6.45728938e+05
327,6.45730312e+05
328,6.45731688e+05
329,6.45733000e+05
330,6.45734375e+05
331,6.45735688e+05
332,6.45737000e+05
333,6.45738375e+05
334,6.45739688e+05
335,6.45741000e+05
336,6.45742312e+05
337,6.45743688e+05
338,6.45745000e+05
339,6.45746250e+05
340,6.45747562e+05
341,6.45748875e+05
342,6.45750188e+05
343,6.45751500e+05
344,6.45752750e+05
345,6.45754000e+05
346,6.45755312e+05
347,6.45756562e+05
348,6.45757812e+05
349,6.45759062e+05
350,6.45760312e+05
351,6.45761562e+05
352,6.45762812e+05
353,6.45764062e+05
354,6.45765250e+05
355,6.45766500e+05
356,6.45767688e+05
357,6.45768938e+05
358,6.45770125e+05
359,6.45771312e+05
360,6.45772500e+05
361,6.45773750e+05
362,6.45774875e+05
363,6.45776062e+05
364,6.45777250e+05
365,6.45778438e+05
366,6.45779562e+05
367,6.45780750e+05
368,6.45781938e+05
369,6.45783062e+05
370,6.45784250e+05
371,6.45785375e+05
372,6.45786500e+05
373,6.45787625e+05
374,6.45788750e+05
375,6.45789875e+05
376,6.45791000e+05
377,6.45792125e+05
378,6.45793250e+05
379,6.45794375e+05
380,6.45795500e+05
381,6.45796562e+05
382,6.45797688e+05
383,6.45798750e+05
384,6.45799875e+05
385,6.45800938e+05
386,6.45802062e+05
387,6.45803125e+05
388,6.45804188e+05
389,6.45805250e+05
390,6.45806312e+05
391,6.45807438e+05
392,6.45808500e+05
393,6.45809562e+05
394,6.45810562e+05
395,6.45811625e+05
396,6.45812688e+05
397,6.45813750e+05
398,6.45814812e+05
399,6.45815812e+05
400,6.45816875e+05
401,6.45817938e+05
402,6.45818938e+05
403,6.45820000e+05
404,6.45821000e+05
405,6.45822000e+05
406,6.45823062e+05
407,6.45824062e+05
408,6.45825062e+05
409,6.45826125e+05
410,6.45827125e+05
411,6.45828125e+05
412,6.45829125e+05
413,6.45830125e+05
414,6.45831125e+05
415,6.45832125e+05
416,6.45833125e+05
417,6.45834125e+05
418,6.45835125e+05
419,6.45836125e+05
420,6.45837125e+05
421,6.45838062e+05
422,6.45839062e+05
423,6.45840062e+05
424,6.45841000e+05
425,6.45842000e+05
426,6.45843000e+05
427,6.45843938e+05
428,6.45844938e+05
429,6.45845875e+05
430,6.45846875e+05
431,6.45847812e+05
432,6.45848750e+05
433,6.45849750e+05
434,6.45850688e+05
435,6.45851625e+05
436,6.45852625e+05
437,6.45853562e+05
438,6.45854500e+05
439,6.45855438e+05
440,6.45856375e+05
441,6.45857312e+05
442,6.45858250e+05
443,6.45859188e+05
444,6.45860125e+05
445,6.45861062e+05
446,6.45862000e+05
447,6.45862938e+05
448,6.45863875e+05
449,6.45864812e+05
450,6.45865750e+05
451,6.45866625e+05
452,6.45867562e+05
453,6.45868500e+05
454,6.45869375e+05
455,6.45870312e+05
456,6.45871250e+05
457,6.45872125e+05
458,6.45873062e+05
459,6.45873938e+05
460,6.45874875e+05
461,6.45875750e+05
462,6.45876688e+05
463,6.45877562e+05
464,6.45878500e+05
465,6.45879375e+05
466,6.45880250e+05
467,6.45881188e+05
468,6.45882062e+05
469,6.45883000e+05
470,6.45883875e+05
471,6.45884750e+05
472,6.45885625e+05
473,6.45886500e+05
474,6.45887438e+05
475,6.45888312e+05
476,6.45889188e+05
477,6.45890062e+05
478,6.45890938e+05
479,6.45891812e+05
480,6.45892688e+05
481,6.45893562e+05
482,6.45894438e+05
483,6.45895312e+05
484,6.45896188e+05
485,6.45897062e+05
486,6.45897938e+05
487,6.45898812e+05
488,6.45899688e+05
489,6.45900562e+05
490,6.45901438e+05
491,6.45902250e+05
492,6.45903125e+05
493,6.45904000e+05
494,6.45904875e+05
495,6.45905688e+05
496,6.45906562e+05
497,6.45907438e+05
498,6.45908250e+05
499,6.45909125e+05
500,6.45910000e+05
501,6.45910812e+05
502,6.45911688e+05
503,6.45912562e+05
504,6.45913375e+05
505,6.45914250e+05
506,6.45915062e+05
507,6.45915938e+05
508,6.45916750e+05
509,6.45917625e+05
510,6.45918500e+05
511,6.45919312e+05
512,6.45920125e+05
513,6.45921000e+05
514,6.45921812e+05
515,6.45922688e+05
516,6.45923500e+05
517,6.45924312e+05
518,6.45925188e+05
519,6.45926000e+05
520,6.45926812e+05
521,6.45927688e+05
522,6.45928500e+05
523,6.45929312e+05
524,6.45930125e+05
525,6.45931000e+05
526,6.45931812e+05
527,6.45932625e+05
528,6.45933438e+05
529,6.45934250e+05
530,6.45935062e+05
531,6.45935875e+05
532,6.45936688e+05
533,6.45937500e+05
534,6.45938312e+05
535,6.45939125e+05
536,6.45939938e+05
537,6.45940750e+05
538,6.45941500e+05
539,6.45942312e+05
540,6.45943125e+05
541,6.45943938e+05
542,6.45944688e+05
543,6.45945500e+05
544,6.45946312e+05
545,6.45947062e+05
546,6.45947875e+05
547,6.45948625e+05
548,6.45949438e+05
549,6.45950188e+05
550,6.45951000e+05
551,6.45951750e+05
552,6.45952500e+05
553,6.45953312e+05
554,6.45954062e+05
555,6.45954812e+05
556,6.45955562e+05
557,6.45956375e+05
558,6.45957125e+05
559,6.45957875e+05
560,6.45958625e+05
561,6.45959375e+05
562,6.45960125e+05
563,6.45960875e+05
564,6.45961562e+05
565,6.45962312e+05
566,6.45963062e+05
567,6.45963812e+05
568,6.45964500e+05
569,6.45965250e+05
570,6.45966000e+05
571,6.45966688e+05
572,6.45967375e+05
573,6.45968125e+05
574,6.45968812e+05
575,6.45969500e+05
576,6.45970188e+05
577,6.45970875e+05
578,6.45971562e+05
579,6.45972250e+05
580,6.45972938e+05
581,6.45973625e+05
582,6.45974312e+05
583,6.45975000e+05
584,6.45975625e+05
585,6.45976312e+05
586,6.45976938e+05
587,6.45977625e+05
588,6.45978250e+05
589,6.45978938e+05
590,6.45979562e+05
591,6.45980188e+05
592,6.45980812e+05
593,6.45981500e+05
594,6.45982125e+05
595,6.45982750e+05
596,6.45983375e+05
597,6.45984000e+05
598,6.45984562e+05
599,6.45985188e+05
600,6.45985812e+05
601,6.45986438e+05
602,6.45987062e+05
603,6.45987625e+05
604,6.45988250e+05
605,6.45988875e+05
606,6.45989438e+05
607,6.45990062e+05
608,6.45990625e+05
609,6.45991250e+05
610,6.45991812e+05
611,6.45992438e+05
612,6.45993000e+05
613,6.45993562e+05
614,6.45994188e+05
615,6.45994750e+05
616,6.45995312e+05
617,6.45995938e+05
618,6.45996500e+05
619,6.45997062e+05
620,6.45997688e+05
621,6.45998250e+05
622,6.45998812e+05
623,6.45999375e+05
624,6.46000000e+05
625,6.46000562e+05
626,6.46001125e+05
627,6.46001688e+05
628,6.46002312e+05
629,6.46002875e+05
630,6.46003438e+05
631,6.46004000e+05
632,6.46004625e+05
633,6.46005188e+05
634,6.46005750e+05
635,6.46006312e+05
636,6.46006938e+05
637,6.46007500e+05
638,6.46008062e+05
639,6.46008688e+05
640,6.46009250e+05
641,6.46009812e+05
642,6.46010438e+05
643,6.46011000e+05
644,6.46011625e+05
645,6.46012250e+05
646,6.46012812e+05
647,6.46013438e+05
648,6.46014000e+05
649,6.46014625e+05
650,6.46015250e+05
651,6.46015875e+05
652,6.46016500e+05
653,6.46017062e+05
654,6.46017688e+05
655,6.46018312e+05
656,6.46018938e+05
657,6.46019562e+05
658,6.46020250e+05
659,6.46020875e+05
660,6.46021500e+05
661,6.46022125e+05
662,6.46022750e+05
663,6.46023438e+05
664,6.46024062e+05
665,6.46024750e+05
666,6.46025375e+05
667,6.46026062e+05
668,6.46026688e+05
669,6.46027375e+05
670,6.46028000e+05
671,6.46028688e+05
672,6.46029375e+05
673,6.46030000e+05
674,6.46030688e+05
675,6.46031375e+05
676,6.46032000e+05
677,6.46032688e+05
678,6.46033375e+05
679,6.46034062e+05
680,6.46034688e+05
681,6.46035375e+05
682,6.46036062e+05
683,6.46036750e+05
684,6.46037375e+05
685,6.46038062e+05
686,6.46038750e+05
687,6.46039375e+05
688,6.46040062e+05
689,6.46040688e+05
690,6.46041375e+05
691,6.46042000e+05
692,6.46042688e+05
693,6.46043312e+05
694,6.46043938e+05
695,6.46044562e+05
696,6.46045188e+05
