[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
2.48872228e-002, 2.84924239e-001
2.31683645e-002, 3.06731552e-001
2.14550029e-002, 3.29837620e-001
1.98947676e-002, 3.53260696e-001
1.83404498e-002, 3.78711015e-001
1.67930424e-002, 4.06041592e-001
1.54029010e-002, 4.34777170e-001
1.40203433e-002, 4.66555089e-001
1.26466723e-002, 4.98531669e-001
1.14335427e-002, 5.30056357e-001
1.02301827e-002, 5.65891981e-001
9.03850142e-003, 6.04200602e-001
8.01008567e-003, 6.44188404e-001
6.99500507e-003, 6.88574314e-001
5.99604845e-003, 7.36625075e-001
5.16119692e-003, 7.83274949e-001
4.34460491e-003, 8.36077988e-001
3.55135743e-003, 8.92373800e-001
2.92125321e-003, 9.45036590e-001
2.31772056e-003, 1.00071871e+000
1.74647465e-003, 1.05405045e+000
1.33208663e-003, 1.09528029e+000
9.52080358e-004, 1.12945127e+000
6.17176760e-004, 1.14206898e+000
4.11194284e-004, 1.13353026e+000
2.39835441e-004, 1.10335386e+000
1.09440669e-004, 1.04641664e+000
5.35317267e-005, 9.82422233e-001
1.63861550e-005, 9.14554477e-001
-1.71443799e-006, 8.44752789e-001
-3.21501875e-006, 8.00722599e-001
-2.64121991e-006, 7.71451533e-001
3.98867206e-016, 7.42746353e-001
2.77981667e-006, 7.16956019e-001
7.01078625e-006, 6.94905758e-001
2.46720156e-005, 6.39708340e-001
5.21577349e-005, 5.47720015e-001
1.18292359e-004, 4.29548502e-001
2.08396537e-004, 2.92925179e-001
3.70696827e-004, 1.42030284e-001
5.69916039e-004, -2.34035999e-002
8.70344113e-004, -1.85340285e-001
1.21277641e-003, -3.35117936e-001
1.67388574e-003, -4.72512841e-001
2.17247754e-003, -6.05965853e-001
2.79620453e-003, -7.03644514e-001
3.44848284e-003, -7.88836420e-001
4.22650296e-003, -8.55374873e-001
5.02687413e-003, -9.10825729e-001
5.95050585e-003, -9.52647328e-001
6.89103454e-003, -9.88266349e-001
7.95224775e-003, -1.01429605e+000
9.02624894e-003, -1.03706086e+000
1.02185318e-002, -1.05117989e+000
1.14202052e-002, -1.06230724e+000
1.27371550e-002, -1.06907403e+000
1.40615739e-002, -1.07467186e+000
1.54985478e-002, -1.07626832e+000
1.69414375e-002, -1.07704461e+000
1.84940025e-002, -1.07478237e+000
2.00512204e-002, -1.07281935e+000
2.17153355e-002, -1.06944418e+000
2.33833641e-002, -1.06642592e+000
2.51553617e-002, -1.06206787e+000
2.69307066e-002, -1.05709863e+000
2.88070478e-002, -1.04964352e+000
3.06862686e-002, -1.03789687e+000
3.26633342e-002, -1.02540433e+000
3.46428752e-002, -1.02003682e+000
3.67169417e-002, -1.01737380e+000
3.87931876e-002, -1.01542270e+000
4.09605019e-002, -1.01316702e+000
4.31297570e-002, -1.01136327e+000
4.53864895e-002, -1.00938296e+000
4.76449206e-002, -1.00806332e+000
4.99870665e-002, -1.00664949e+000
5.23307137e-002, -1.00560772e+000
5.47541939e-002, -1.00471199e+000
5.71790263e-002, -1.00425386e+000
5.96796945e-002, -1.00397921e+000
6.21815734e-002, -1.00413918e+000
6.47551641e-002, -1.00451136e+000
6.73298314e-002, -1.00535727e+000
6.99719861e-002, -1.00653005e+000
7.26151168e-002, -1.00811481e+000
7.53213838e-002, -1.00990248e+000
7.80285224e-002, -1.01185834e+000
8.07943419e-002, -1.01378953e+000
8.35608989e-002, -1.01583755e+000
8.63815695e-002, -1.01803792e+000
8.92028883e-002, -1.02050364e+000
9.20737013e-002, -1.02309132e+000
9.49450806e-002, -1.02577710e+000
9.78612304e-002, -1.02851272e+000
1.00777857e-001, -1.03135026e+000
1.03734463e-001, -1.03429067e+000
1.06691487e-001, -1.03736460e+000
1.09683640e-001, -1.04052472e+000
1.12676144e-001, -1.04375005e+000
1.15698867e-001, -1.04697752e+000
1.18721873e-001, -1.05018187e+000
1.21770144e-001, -1.05330777e+000
1.24818645e-001, -1.05634451e+000
1.27887398e-001, -1.05929947e+000
1.30956337e-001, -1.06225324e+000
1.34040490e-001, -1.06527829e+000
1.37124777e-001, -1.06840909e+000
1.40219256e-001, -1.07161701e+000
1.43313810e-001, -1.07485855e+000
1.46448031e-001, -1.07809281e+000
1.49582282e-001, -1.08131373e+000
1.52724564e-001, -1.08447146e+000
1.55866832e-001, -1.08752859e+000
1.58756375e-001, -1.09047699e+000
1.61645859e-001, -1.09325063e+000
1.64151996e-001, -1.09589517e+000
1.66658059e-001, -1.09836388e+000
1.69016629e-001, -1.10069883e+000
1.71375126e-001, -1.10290408e+000
1.73645109e-001, -1.10504210e+000
1.75914988e-001, -1.10710490e+000
1.78111091e-001, -1.10914314e+000
1.80307075e-001, -1.11113822e+000
1.82458758e-001, -1.11308050e+000
1.84610337e-001, -1.11498868e+000
1.86717585e-001, -1.11688340e+000
1.88824728e-001, -1.11876869e+000
1.90917000e-001, -1.12066424e+000
1.93009153e-001, -1.12259293e+000
1.95071712e-001, -1.12457383e+000
1.97134122e-001, -1.12660456e+000
1.99166924e-001, -1.12868404e+000
2.01199576e-001, -1.13080847e+000
2.03232065e-001, -1.13297260e+000
2.05264390e-001, -1.13517666e+000
2.07267076e-001, -1.13741529e+000
2.09269598e-001, -1.13968480e+000
2.11271927e-001, -1.14198375e+000
2.13274062e-001, -1.14428771e+000
2.15261251e-001, -1.14652193e+000
2.17248246e-001, -1.14848864e+000
2.19235003e-001, -1.14977086e+000
2.21221521e-001, -1.15005684e+000
2.23193079e-001, -1.14896166e+000
2.25164384e-001, -1.14446044e+000
2.27135435e-001, -1.13342643e+000
2.29106188e-001, -1.11046445e+000
2.31091365e-001, -1.06727445e+000
2.33076245e-001, -9.96560335e-001
2.35046118e-001, -8.98449600e-001
2.37015665e-001, -7.89436698e-001
2.38984898e-001, -6.95645452e-001
2.40953788e-001, -6.34378076e-001
2.42922321e-001, -5.98460376e-001
2.44890481e-001, -5.76854527e-001
2.46858269e-001, -5.65669119e-001
2.48825669e-001, -5.61199069e-001
2.50792682e-001, -5.60060263e-001
2.52759278e-001, -5.59946954e-001
2.54740119e-001, -5.59285164e-001
2.56720543e-001, -5.56147754e-001
2.58700520e-001, -5.49697220e-001
2.60680079e-001, -5.41142702e-001
2.62673825e-001, -5.32415330e-001
2.64667124e-001, -5.25001228e-001
2.66659975e-001, -5.19286394e-001
2.68652350e-001, -5.14864266e-001
2.70644248e-001, -5.11040151e-001
2.72635728e-001, -5.07164836e-001
2.74641365e-001, -5.02737701e-001
2.76646525e-001, -4.97567922e-001
2.78665870e-001, -4.91624951e-001
2.80684739e-001, -4.85142678e-001
2.82717764e-001, -4.78283763e-001
2.84750313e-001, -4.71285671e-001
2.86797047e-001, -4.64222938e-001
2.88843274e-001, -4.57238734e-001
2.90903628e-001, -4.50316787e-001
2.92963505e-001, -4.43497151e-001
2.95052081e-001, -4.36597794e-001
2.97140181e-001, -4.29618150e-001
2.99256980e-001, -4.22349244e-001
3.01373243e-001, -4.14888620e-001
3.03503603e-001, -4.07211334e-001
3.05633456e-001, -3.99443597e-001
3.07791919e-001, -3.91526043e-001
3.09949845e-001, -3.83616179e-001
3.12150955e-001, -3.75558883e-001
3.14351529e-001, -3.67510408e-001
3.16609800e-001, -3.59199107e-001
3.18867475e-001, -3.50849420e-001
3.21168214e-001, -3.42251360e-001
3.23468328e-001, -3.33585113e-001
3.25840592e-001, -3.24559212e-001
3.28212142e-001, -3.15479845e-001
3.30670267e-001, -3.05967480e-001
3.33127648e-001, -2.96391666e-001
3.35715115e-001, -2.86206752e-001
3.38301778e-001, -2.76010931e-001
3.41047406e-001, -2.65131027e-001
3.43792170e-001, -2.54268706e-001
3.46768260e-001, -2.42389068e-001
3.49743247e-001, -2.30457172e-001
3.52978230e-001, -2.17279658e-001


