[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
2.48872228e-002, 2.70270139e-001
2.31683645e-002, 2.91935444e-001
2.14550029e-002, 3.14989269e-001
1.98947676e-002, 3.38412344e-001
1.83404498e-002, 3.63912255e-001
1.67930424e-002, 3.91182035e-001
1.54029010e-002, 4.19048637e-001
1.40203433e-002, 4.49903548e-001
1.26466723e-002, 4.82750893e-001
1.14335427e-002, 5.15746415e-001
1.02301827e-002, 5.52310526e-001
9.03850142e-003, 5.91300964e-001
8.01008567e-003, 6.31573677e-001
6.99500507e-003, 6.76422119e-001
5.99604845e-003, 7.25188076e-001
5.16119692e-003, 7.72420287e-001
4.34460491e-003, 8.25893104e-001
3.55135743e-003, 8.83221984e-001
2.92125321e-003, 9.36769128e-001
2.31772056e-003, 9.93486464e-001
1.74647465e-003, 1.04841447e+000
1.33208663e-003, 1.09124947e+000
9.52080358e-004, 1.12727785e+000
6.17176760e-004, 1.14293671e+000
4.11194284e-004, 1.13689256e+000
2.39835441e-004, 1.11078131e+000
1.09440669e-004, 1.05718577e+000
5.35317267e-005, 9.97298896e-001
1.63861550e-005, 9.31327641e-001
-1.71443799e-006, 8.63056719e-001
-3.21501875e-006, 8.24457347e-001
-2.64121991e-006, 7.90869713e-001
3.98867206e-016, 7.62086034e-001
2.77981667e-006, 7.40626752e-001
7.01078625e-006, 7.18643486e-001
2.46720156e-005, 6.62741482e-001
5.21577349e-005, 5.81221461e-001
1.18292359e-004, 4.63516891e-001
2.08396537e-004, 3.30573767e-001
3.70696827e-004, 1.79538965e-001
5.69916039e-004, 1.68968271e-002
8.70344113e-004, -1.46047577e-001
1.21277641e-003, -2.94008881e-001
1.67388574e-003, -4.32852060e-001
2.17247754e-003, -5.66628754e-001
2.79620453e-003, -6.64846361e-001
3.44848284e-003, -7.50802040e-001
4.22650296e-003, -8.18217695e-001
5.02687413e-003, -8.71701002e-001
5.95050585e-003, -9.11853671e-001
6.89103454e-003, -9.45982754e-001
7.95224775e-003, -9.71394598e-001
9.02624894e-003, -9.93363082e-001
1.02185318e-002, -1.00743830e+000
1.14202052e-002, -1.01843381e+000
1.27371550e-002, -1.02521920e+000
1.40615739e-002, -1.03066826e+000
1.54985478e-002, -1.03259301e+000
1.69414375e-002, -1.03335917e+000
1.84940025e-002, -1.03170776e+000
2.00512204e-002, -1.03004968e+000
2.17153355e-002, -1.02731466e+000
2.33833641e-002, -1.02482653e+000
2.51553617e-002, -1.02181804e+000
2.69307066e-002, -1.01943517e+000
2.88070478e-002, -1.01678693e+000
3.06862686e-002, -1.01464903e+000
3.26633342e-002, -1.01227915e+000
3.46428752e-002, -1.01043344e+000
3.67169417e-002, -1.00861096e+000
3.87931876e-002, -1.00733352e+000
4.09605019e-002, -1.00619268e+000
4.31297570e-002, -1.00550699e+000
4.53864895e-002, -1.00482655e+000
4.76449206e-002, -1.00446224e+000
4.99870665e-002, -1.00417888e+000
5.23307137e-002, -1.00425816e+000
5.47541939e-002, -1.00454521e+000
5.71790263e-002, -1.00519884e+000
5.96796945e-002, -1.00604713e+000
6.21815734e-002, -1.00721073e+000
6.47551641e-002, -1.00856948e+000
6.73298314e-002, -1.01029623e+000
6.99719861e-002, -1.01224649e+000
7.26151168e-002, -1.01445663e+000
7.53213838e-002, -1.01676035e+000
7.80285224e-002, -1.01913369e+000
8.07943419e-002, -1.02141261e+000
8.35608989e-002, -1.02367747e+000
8.63815695e-002, -1.02600586e+000
8.92028883e-002, -1.02847791e+000
9.20737013e-002, -1.03099537e+000
9.49450806e-002, -1.03354764e+000
9.78612304e-002, -1.03607619e+000
1.00777857e-001, -1.03863120e+000
1.03734463e-001, -1.04124629e+000
1.06691487e-001, -1.04395115e+000
1.09683640e-001, -1.04670560e+000
1.12676144e-001, -1.04950273e+000
1.15698867e-001, -1.05228293e+000
1.18721873e-001, -1.05501842e+000
1.21770144e-001, -1.05768073e+000
1.24818645e-001, -1.06027150e+000
1.27887398e-001, -1.06279957e+000
1.30956337e-001, -1.06534350e+000
1.34040490e-001, -1.06797969e+000
1.37124777e-001, -1.07073534e+000
1.40219256e-001, -1.07358360e+000
1.43313810e-001, -1.07647955e+000
1.46448031e-001, -1.07939076e+000
1.49582282e-001, -1.08231163e+000
1.52724564e-001, -1.08519840e+000
1.55866832e-001, -1.08802795e+000
1.58756375e-001, -1.09079075e+000
1.61645859e-001, -1.09344006e+000
1.64151996e-001, -1.09597433e+000
1.66658059e-001, -1.09836257e+000
1.69016629e-001, -1.10059845e+000
1.71375126e-001, -1.10271966e+000
1.73645109e-001, -1.10477436e+000
1.75914988e-001, -1.10678732e+000
1.78111091e-001, -1.10878420e+000
