[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
2.48872228e-002, 2.76183009e-001
2.31683645e-002, 2.97813207e-001
2.14550029e-002, 3.20767552e-001
1.98947676e-002, 3.43867421e-001
1.83404498e-002, 3.69368821e-001
1.67930424e-002, 3.96539986e-001
1.54029010e-002, 4.24014598e-001
1.40203433e-002, 4.54851806e-001
1.26466723e-002, 4.87444133e-001
1.14335427e-002, 5.19987404e-001
1.02301827e-002, 5.56763470e-001
9.03850142e-003, 5.95770776e-001
8.01008567e-003, 6.35302305e-001
6.99500507e-003, 6.80680275e-001
5.99604845e-003, 7.28624165e-001
5.16119692e-003, 7.75148273e-001
4.34460491e-003, 8.29194903e-001
3.55135743e-003, 8.84948730e-001
2.92125321e-003, 9.36975777e-001
2.31772056e-003, 9.94298756e-001
1.74647465e-003, 1.04637659e+000
1.33208663e-003, 1.08781457e+000
9.52080358e-004, 1.12529612e+000
6.17176760e-004, 1.13999331e+000
4.11194284e-004, 1.14372039e+000
2.39835441e-004, 1.14246571e+000
1.09440669e-004, 1.10915613e+000
5.35317267e-005, 1.06243658e+000
1.63861550e-005, 1.01444566e+000
-1.71443799e-006, 9.44872200e-001
-3.21501875e-006, 9.08308625e-001
-2.64121991e-006, 8.81127417e-001
3.98867206e-016, 8.58151257e-001
2.77981667e-006, 8.41385782e-001
7.01078625e-006, 8.27208936e-001
2.46720156e-005, 7.87696660e-001
5.21577349e-005, 7.32923925e-001
1.18292359e-004, 6.42817676e-001
2.08396537e-004, 5.35727739e-001
3.70696827e-004, 4.00997400e-001
5.69916039e-004, 2.58086592e-001
8.70344113e-004, 1.04771607e-001
1.21277641e-003, -3.86574976e-002
1.67388574e-003, -1.74982995e-001
2.17247754e-003, -2.99742013e-001
2.79620453e-003, -4.01925415e-001
3.44848284e-003, -4.90322202e-001
4.22650296e-003, -5.65634131e-001
5.02687413e-003, -6.26252592e-001
5.95050585e-003, -6.75240517e-001
6.89103454e-003, -7.15486348e-001
7.95224775e-003, -7.47897863e-001
9.02624894e-003, -7.75178075e-001
1.02185318e-002, -7.95509815e-001
1.14202052e-002, -8.11398387e-001
1.27371550e-002, -8.24064612e-001
1.40615739e-002, -8.34334135e-001
1.54985478e-002, -8.41883719e-001
1.69414375e-002, -8.47656131e-001
1.84940025e-002, -8.51479650e-001
2.00512204e-002, -8.54919136e-001
2.17153355e-002, -8.57742310e-001
2.33833641e-002, -8.60391736e-001
2.51553617e-002, -8.62731457e-001
2.69307066e-002, -8.65245402e-001
2.88070478e-002, -8.67514372e-001
3.06862686e-002, -8.69867802e-001
3.26633342e-002, -8.72003675e-001
3.46428752e-002, -8.74258518e-001
3.67169417e-002, -8.76499414e-001
3.87931876e-002, -8.78893256e-001
4.09605019e-002, -8.81305158e-001
4.31297570e-002, -8.83735120e-001
4.53864895e-002, -8.85995388e-001
4.76449206e-002, -8.88214946e-001
4.99870665e-002, -8.90387416e-001
5.23307137e-002, -8.92617881e-001
5.47541939e-002, -8.94924641e-001
5.71790263e-002, -8.97405863e-001
5.96796945e-002, -8.99998248e-001
6.21815734e-002, -9.02579486e-001
6.47551641e-002, -9.05119896e-001
6.73298314e-002, -9.07760501e-001
6.99719861e-002, -9.10453081e-001
7.26151168e-002, -9.13156569e-001
7.53213838e-002, -9.15807366e-001
7.80285224e-002, -9.18340504e-001
8.07943419e-002, -9.20662344e-001
8.35608989e-002, -9.22842920e-001
8.63815695e-002, -9.24986482e-001
8.92028883e-002, -9.27150071e-001
9.20737013e-002, -9.29256260e-001
9.49450806e-002, -9.31259751e-001
9.78612304e-002, -9.33156848e-001
1.00777857e-001, -9.34978604e-001
1.03734463e-001, -9.36755538e-001
1.06691487e-001, -9.38505650e-001
1.09683640e-001, -9.40196097e-001
1.12676144e-001, -9.41801250e-001
1.15698867e-001, -9.43279743e-001
1.18721873e-001, -9.44631636e-001
1.21770144e-001, -9.45822656e-001
1.24818645e-001, -9.46860194e-001
1.27887398e-001, -9.47752476e-001
1.30956337e-001, -9.48554933e-001
1.34040490e-001, -9.49309051e-001
1.37124777e-001, -9.50052142e-001
1.40219256e-001, -9.50727224e-001
1.43313810e-001, -9.51292753e-001
1.46448031e-001, -9.51724052e-001
1.49582282e-001, -9.52047825e-001
1.52724564e-001, -9.52248275e-001
1.55866832e-001, -9.52266872e-001
1.58756375e-001, -9.52136099e-001
1.61645859e-001, -9.51563478e-001
1.64151996e-001, -9.50755119e-001
1.66658059e-001, -9.49486017e-001
1.69016629e-001, -9.47966218e-001
1.71375126e-001, -9.46059406e-001
1.73645109e-001, -9.43903446e-001
1.75914988e-001, -9.41342235e-001
1.78111091e-001, -9.38495874e-001
1.80307075e-001, -9.35212672e-001
1.82458758e-001, -9.31556106e-001
1.84610337e-001, -9.27420735e-001
1.86717585e-001, -9.22872424e-001
1.88824728e-001, -9.17838573e-001
1.90917000e-001, -9.12367880e-001
1.93009153e-001, -9.06390905e-001
1.95071712e-001, -8.99993658e-001
1.97134122e-001, -8.93068910e-001
1.99166924e-001, -8.85705709e-001
2.01199576e-001, -8.77850413e-001
2.03232065e-001, -8.69536638e-001
2.05264390e-001, -8.60745490e-001
2.07267076e-001, -8.51620555e-001
2.09269598e-001, -8.42116594e-001
2.11271927e-001, -8.32305372e-001
2.13274062e-001, -8.22229981e-001
2.15261251e-001, -8.12023222e-001
2.17248246e-001, -8.01694572e-001
2.19235003e-001, -7.91319847e-001
2.21221521e-001, -7.80943871e-001
2.23193079e-001, -7.70698249e-001
2.25164384e-001, -7.60572672e-001
2.27135435e-001, -7.50596046e-001
2.29106188e-001, -7.40815938e-001
2.31091365e-001, -7.31227458e-001
2.33076245e-001, -7.21892476e-001
2.35046118e-001, -7.12891221e-001
2.37015665e-001, -7.04186559e-001
2.38984898e-001, -6.95779800e-001
2.40953788e-001, -6.87657356e-001
2.42922321e-001, -6.79773808e-001
2.44890481e-001, -6.72072470e-001
2.46858269e-001, -6.64513409e-001
2.48825669e-001, -6.57036960e-001
2.50792682e-001, -6.49597168e-001
2.52759278e-001, -6.42169774e-001
2.54740119e-001, -6.34663105e-001
2.56720543e-001, -6.27087057e-001
2.58700520e-001, -6.19399726e-001
2.60680079e-001, -6.11576676e-001
2.62673825e-001, -6.03546798e-001
2.64667124e-001, -5.95354259e-001
2.66659975e-001, -5.86979389e-001
2.68652350e-001, -5.78439474e-001
2.70644248e-001, -5.69759309e-001
2.72635728e-001, -5.60972035e-001
2.74641365e-001, -5.52035451e-001
2.76646525e-001, -5.43033421e-001
2.78665870e-001, -5.33922493e-001
2.80684739e-001, -5.24809062e-001
2.82717764e-001, -5.15645742e-001
2.84750313e-001, -5.06516814e-001
2.86797047e-001, -4.97371644e-001
2.88843274e-001, -4.88283455e-001
2.90903628e-001, -4.79192585e-001
2.92963505e-001, -4.70184386e-001
2.95052081e-001, -4.61137503e-001
2.97140181e-001, -4.52170044e-001
2.99256980e-001, -4.43134815e-001
3.01373243e-001, -4.34146076e-001
3.03503603e-001, -4.25132126e-001
3.05633456e-001, -4.16168332e-001
3.07791919e-001, -4.07128096e-001
3.09949845e-001, -3.98139834e-001
3.12150955e-001, -3.89027268e-001
3.14351529e-001, -3.79975528e-001
3.16609800e-001, -3.70723963e-001
3.18867475e-001, -3.61500412e-001
3.21168214e-001, -3.52095783e-001
3.23468328e-001, -3.42725694e-001
3.25840592e-001, -3.33101034e-001
3.28212142e-001, -3.23520631e-001
3.30670267e-001, -3.13592225e-001
3.33127648e-001, -3.03682417e-001
3.35715115e-001, -2.93245435e-001
3.38301778e-001, -2.82858342e-001
3.41047406e-001, -2.71878511e-001
3.43792170e-001, -2.61020899e-001
3.46768260e-001, -2.49313205e-001
3.49743247e-001, -2.37648308e-001
3.52978230e-001, -2.24897459e-001


