[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
2.48872228e-002, 2.88466305e-001
2.31683645e-002, 3.10077906e-001
2.14550029e-002, 3.32978845e-001
1.98947676e-002, 3.56194705e-001
1.83404498e-002, 3.81469399e-001
1.67930424e-002, 4.08653855e-001
1.54029010e-002, 4.37319785e-001
1.40203433e-002, 4.68711913e-001
1.26466723e-002, 5.00077486e-001
1.14335427e-002, 5.31437755e-001
1.02301827e-002, 5.67101598e-001
9.03850142e-003, 6.05178773e-001
8.01008567e-003, 6.44943774e-001
6.99500507e-003, 6.89063132e-001
5.99604845e-003, 7.36826420e-001
5.16119692e-003, 7.83198535e-001
4.34460491e-003, 8.35686564e-001
3.55135743e-003, 8.91648531e-001
2.92125321e-003, 9.43994343e-001
2.31772056e-003, 9.99330282e-001
1.74647465e-003, 1.05229592e+000
1.33208663e-003, 1.09320915e+000
9.52080358e-004, 1.12708724e+000
6.17176760e-004, 1.13938999e+000
4.11194284e-004, 1.13071990e+000
2.39835441e-004, 1.10033929e+000
1.09440669e-004, 1.04338849e+000
5.35317267e-005, 9.79398191e-001
1.63861550e-005, 9.11597729e-001
-1.71443799e-006, 8.41879904e-001
-3.21501875e-006, 7.97888935e-001
-2.64121991e-006, 7.68676043e-001
3.98867206e-016, 7.40023136e-001
2.77981667e-006, 7.14268148e-001
7.01078625e-006, 6.92253351e-001
2.46720156e-005, 6.37168050e-001
5.21577349e-005, 5.45338571e-001
1.18292359e-004, 4.27427977e-001
2.08396537e-004, 2.91099817e-001
3.70696827e-004, 1.40600473e-001
5.69916039e-004, -2.43900642e-002
8.70344113e-004, -1.85813740e-001
1.21277641e-003, -3.35206926e-001
1.67388574e-003, -4.72085297e-001
2.17247754e-003, -6.05004370e-001
2.79620453e-003, -7.02190638e-001
3.44848284e-003, -7.86923587e-001
4.22650296e-003, -8.52987349e-001
5.02687413e-003, -9.07986045e-001
5.95050585e-003, -9.49327230e-001
6.89103454e-003, -9.84493732e-001
7.95224775e-003, -1.01004612e+000
9.02624894e-003, -1.03234875e+000
1.02185318e-002, -1.04597008e+000
1.14202052e-002, -1.05661225e+000
1.27371550e-002, -1.06287074e+000
1.40615739e-002, -1.06799293e+000
1.54985478e-002, -1.06897044e+000
1.69414375e-002, -1.06910098e+000
1.84940025e-002, -1.06627560e+000
2.00512204e-002, -1.06375659e+000
2.17153355e-002, -1.05975521e+000
2.33833641e-002, -1.05606437e+000
2.51553617e-002, -1.05092835e+000
2.69307066e-002, -1.04547417e+000
2.88070478e-002, -1.03742647e+000
3.06862686e-002, -1.02533817e+000
3.26633342e-002, -1.01145828e+000
3.46428752e-002, -1.00458789e+000
3.67169417e-002, -1.00152278e+000
3.87931876e-002, -9.99022961e-001
4.09605019e-002, -9.95992422e-001
4.31297570e-002, -9.93477464e-001
4.53864895e-002, -9.90659595e-001
4.76449206e-002, -9.88530517e-001
4.99870665e-002, -9.86408234e-001
5.23307137e-002, -9.84706223e-001
5.47541939e-002, -9.83176053e-001
5.71790263e-002, -9.82085884e-001
5.96796945e-002, -9.81156826e-001
6.21815734e-002, -9.80669200e-001
6.47551641e-002, -9.80401456e-001
6.73298314e-002, -9.80690122e-001
6.99719861e-002, -9.81292725e-001
7.26151168e-002, -9.82367158e-001
7.53213838e-002, -9.83741462e-001
7.80285224e-002, -9.85373795e-001
8.07943419e-002, -9.87044036e-001
8.35608989e-002, -9.88889754e-001
