[Name]
Series 1 at /POLYLINE:PressurePorts

[Data]
X [ m ],shearwall [ Pa ]
2.66109183e-002, 9.95660172e+001
2.48872228e-002, 9.94696350e+001
2.31683645e-002, 9.92437820e+001
2.14550029e-002, 9.88076019e+001
1.98947676e-002, 9.84356613e+001
1.83404498e-002, 9.79079514e+001
1.67930424e-002, 9.70217361e+001
1.54029010e-002, 9.60332260e+001
1.40203433e-002, 9.43858032e+001
1.26466723e-002, 9.12653275e+001
1.14335427e-002, 8.81299896e+001
1.02301827e-002, 8.30963898e+001
9.03850142e-003, 7.64937897e+001
8.01008567e-003, 7.35027618e+001
6.99500507e-003, 7.27231369e+001
5.99604845e-003, 7.28032303e+001
5.16119692e-003, 7.38557053e+001
4.34460491e-003, 7.41484833e+001
3.55135743e-003, 7.28070602e+001
2.92125321e-003, 7.08547592e+001
2.31772056e-003, 6.57173080e+001
1.74647465e-003, 5.75949402e+001
1.33208663e-003, 4.65048981e+001
9.52080358e-004, 2.89616642e+001
6.17176760e-004, 5.74896240e+000
4.11194284e-004, 1.97694588e+001
2.39835441e-004, 4.96752892e+001
1.09440669e-004, 8.32714310e+001
5.35317267e-005, 1.09537079e+002
1.63861550e-005, 1.29186890e+002
-1.71443799e-006, 1.50821915e+002
-3.21501875e-006, 1.57606110e+002
-2.64121991e-006, 1.63152451e+002
3.98867206e-016, 1.68268661e+002
2.77981667e-006, 1.77951065e+002
7.01078625e-006, 1.72855301e+002
2.46720156e-005, 2.06992157e+002
5.21577349e-005, 2.18156891e+002
1.18292359e-004, 2.36612671e+002
2.08396537e-004, 2.40716019e+002
3.70696827e-004, 2.49025681e+002
5.69916039e-004, 2.45349304e+002
8.70344113e-004, 2.39983276e+002
1.21277641e-003, 2.27576431e+002
1.67388574e-003, 2.19759491e+002
2.17247754e-003, 2.03638184e+002
2.79620453e-003, 1.87414536e+002
3.44848284e-003, 1.74531464e+002
4.22650296e-003, 1.70566254e+002
5.02687413e-003, 1.75352493e+002
5.95050585e-003, 1.81976822e+002
6.89103454e-003, 1.82592438e+002
7.95224775e-003, 1.84078186e+002
9.02624894e-003, 1.81181183e+002
1.02185318e-002, 1.78196548e+002
1.14202052e-002, 1.74443710e+002
1.27371550e-002, 1.71331436e+002
1.40615739e-002, 1.67703445e+002
1.54985478e-002, 1.64602509e+002
1.69414375e-002, 1.61178436e+002
1.84940025e-002, 1.58624207e+002
2.00512204e-002, 1.56042618e+002
2.17153355e-002, 1.53838196e+002
2.33833641e-002, 1.51616333e+002
2.51553617e-002, 1.49778900e+002
2.69307066e-002, 1.47865891e+002
2.88070478e-002, 1.46196655e+002
3.06862686e-002, 1.44515259e+002
3.26633342e-002, 1.42988403e+002
3.46428752e-002, 1.41555893e+002
3.67169417e-002, 1.40233917e+002
3.87931876e-002, 1.38969864e+002
4.09605019e-002, 1.37822784e+002
4.31297570e-002, 1.36674286e+002
4.53864895e-002, 1.35553635e+002
4.76449206e-002, 1.34526840e+002
4.99870665e-002, 1.33575516e+002
5.23307137e-002, 1.32672012e+002
5.47541939e-002, 1.31858688e+002
5.71790263e-002, 1.31013336e+002
5.96796945e-002, 1.30300659e+002
6.21815734e-002, 1.29542831e+002
6.47551641e-002, 1.28894226e+002
6.73298314e-002, 1.28281052e+002
6.99719861e-002, 1.27683800e+002
7.26151168e-002, 1.27084061e+002
7.53213838e-002, 1.26520790e+002
7.80285224e-002, 1.25888397e+002
8.07943419e-002, 1.25268944e+002
8.35608989e-002, 1.24723816e+002
8.63815695e-002, 1.24259453e+002
8.92028883e-002, 1.23782974e+002
9.20737013e-002, 1.23265503e+002
9.49450806e-002, 1.22756996e+002
9.78612304e-002, 1.22278313e+002
