[Name]
Series 1 at /POLYLINE:outlet

[Data]
Velocity [ m s^-1 ],Y [ m ]
2.33933823e+002, -1.85478609e-002
2.33942886e+002, -1.84973162e-002
2.33950821e+002, -1.84531659e-002
2.33958755e+002, -1.84090137e-002
2.33965652e+002, -1.83705501e-002
2.33972580e+002, -1.83320846e-002
2.33978607e+002, -1.82986762e-002
2.33984634e+002, -1.82652660e-002
2.33989838e+002, -1.82363447e-002
2.33995041e+002, -1.82074234e-002
2.33999527e+002, -1.81824807e-002
2.34004013e+002, -1.81575362e-002
2.34007858e+002, -1.81361176e-002
2.34011703e+002, -1.81146972e-002
2.34015030e+002, -1.80963930e-002
2.34018280e+002, -1.80780888e-002
2.34021072e+002, -1.80625338e-002
2.34023849e+002, -1.80469807e-002
2.34026672e+002, -1.80313308e-002
2.34029495e+002, -1.80156790e-002
2.34032837e+002, -1.79972611e-002
2.34036163e+002, -1.79788433e-002
2.34040054e+002, -1.79572906e-002
2.34043945e+002, -1.79357380e-002
2.34048508e+002, -1.79106388e-002
2.34053040e+002, -1.78855415e-002
2.34058304e+002, -1.78564396e-002
2.34063583e+002, -1.78273376e-002
2.34069656e+002, -1.77937206e-002
2.34075760e+002, -1.77601036e-002
2.34082748e+002, -1.77213997e-002
2.34089752e+002, -1.76826976e-002
2.34097809e+002, -1.76382698e-002
2.34105881e+002, -1.75938457e-002
2.34115128e+002, -1.75429881e-002
2.34124374e+002, -1.74921267e-002
2.34134933e+002, -1.74340457e-002
2.34145493e+002, -1.73759647e-002
2.34157516e+002, -1.73097812e-002
2.34169525e+002, -1.72436014e-002
2.34183243e+002, -1.71683356e-002
2.34196930e+002, -1.70930699e-002
2.34212509e+002, -1.70076378e-002
2.34228104e+002, -1.69222057e-002
2.34245789e+002, -1.68253928e-002
2.34263489e+002, -1.67285800e-002
2.34283508e+002, -1.66190434e-002
2.34303574e+002, -1.65095069e-002
2.34326309e+002, -1.63857527e-002
2.34349091e+002, -1.62620004e-002
2.34374786e+002, -1.61223728e-002
2.34400513e+002, -1.59827452e-002
2.34429550e+002, -1.58254020e-002
2.34458618e+002, -1.56680606e-002
