[Name]
Series 1 at /POLYLINE:outlet

[Data]
Velocity [ m s^-1 ],Y [ m ]
2.35209213e+002, -1.85478609e-002
2.35215515e+002, -1.84973162e-002
2.35221100e+002, -1.84531659e-002
2.35226685e+002, -1.84090137e-002
2.35231598e+002, -1.83705501e-002
2.35236511e+002, -1.83320846e-002
2.35240845e+002, -1.82986762e-002
2.35245178e+002, -1.82652660e-002
2.35248993e+002, -1.82363447e-002
2.35252808e+002, -1.82074234e-002
2.35256195e+002, -1.81824807e-002
2.35259552e+002, -1.81575362e-002
2.35262543e+002, -1.81361176e-002
2.35265549e+002, -1.81146972e-002
2.35268158e+002, -1.80963930e-002
2.35270798e+002, -1.80780888e-002
2.35273102e+002, -1.80625338e-002
2.35275391e+002, -1.80469807e-002
2.35277710e+002, -1.80313308e-002
2.35279999e+002, -1.80156790e-002
2.35282532e+002, -1.79972611e-002
2.35285034e+002, -1.79788433e-002
2.35287781e+002, -1.79572906e-002
2.35290482e+002, -1.79357380e-002
2.35293488e+002, -1.79106388e-002
2.35296417e+002, -1.78855415e-002
2.35299652e+002, -1.78564396e-002
2.35302795e+002, -1.78273376e-002
2.35306244e+002, -1.77937206e-002
2.35309677e+002, -1.77601036e-002
2.35313568e+002, -1.77213997e-002
2.35317612e+002, -1.76826976e-002
2.35322388e+002, -1.76382698e-002
2.35327698e+002, -1.75938457e-002
2.35332962e+002, -1.75429881e-002
2.35338303e+002, -1.74921267e-002
2.35344574e+002, -1.74340457e-002
2.35351074e+002, -1.73759647e-002
2.35358368e+002, -1.73097812e-002
2.35365601e+002, -1.72436014e-002
2.35373657e+002, -1.71683356e-002
2.35381653e+002, -1.70930699e-002
2.35390732e+002, -1.70076378e-002
2.35399780e+002, -1.69222057e-002
2.35410004e+002, -1.68253928e-002
2.35420166e+002, -1.67285800e-002
2.35431580e+002, -1.66190434e-002
2.35442902e+002, -1.65095069e-002
2.35455658e+002, -1.63857527e-002
2.35468262e+002, -1.62620004e-002
2.35482422e+002, -1.61223728e-002
2.35496429e+002, -1.59827452e-002
2.35512115e+002, -1.58254020e-002
2.35527588e+002, -1.56680606e-002
2.35544891e+002, -1.54909641e-002
2.35561981e+002, -1.53138665e-002
2.35581039e+002, -1.51147507e-002
2.35599838e+002, -1.49156349e-002
2.35620758e+002, -1.46919908e-002
2.35641357e+002, -1.44683467e-002
2.35664230e+002, -1.42173935e-002
2.35686722e+002, -1.39664412e-002
2.35711609e+002, -1.36850998e-002
2.35736038e+002, -1.34037565e-002
2.35762985e+002, -1.30886128e-002
2.35789368e+002, -1.27734691e-002
2.35818375e+002, -1.24207456e-002
2.35846710e+002, -1.20680220e-002
2.35877747e+002, -1.16735362e-002
2.35907913e+002, -1.12790503e-002
2.35940887e+002, -1.08381771e-002
2.35972839e+002, -1.03973020e-002
2.36007538e+002, -9.90492012e-003
2.36041046e+002, -9.41253826e-003
2.36077225e+002, -8.86298530e-003
2.36111969e+002, -8.31343234e-003
2.36149277e+002, -7.70044886e-003
2.36184891e+002, -7.08746491e-003
2.36222885e+002, -6.40412979e-003
2.36258926e+002, -5.72079513e-003
2.36297058e+002, -4.95946035e-003
2.36332932e+002, -4.19812463e-003
2.36370544e+002, -3.35033843e-003
2.36405533e+002, -2.50255223e-003
2.36441757e+002, -1.55897858e-003
2.36474884e+002, -6.15405152e-004
2.36508499e+002, 4.34266432e-004
2.36538437e+002, 1.48393796e-003
2.36567795e+002, 2.65109329e-003
2.36592438e+002, 3.81824840e-003
2.36614304e+002, 5.11545688e-003
2.36630356e+002, 6.41266489e-003
2.36643539e+002, 7.85380043e-003
2.36653717e+002, 9.29493457e-003
2.36663925e+002, 1.08953072e-002
2.36673325e+002, 1.24956788e-002
2.36683243e+002, 1.42721813e-002
2.36692276e+002, 1.60486829e-002
2.36701477e+002, 1.80199482e-002
2.36709900e+002, 1.99912153e-002
2.36718307e+002, 2.21778005e-002
2.36725952e+002, 2.43643839e-002
2.36733337e+002, 2.67889537e-002
2.36739990e+002, 2.92135198e-002
2.36746307e+002, 3.19010615e-002
2.36751846e+002, 3.45886052e-002
