[Name]
Series 1 at /POLYLINE:PressurePorts

[Data]
X [ m ],yplusvar
2.80684710e-001, 1.39481604e-001
2.84750313e-001, 1.38231874e-001
2.88843244e-001, 1.39168024e-001
2.92963475e-001, 1.40625671e-001
2.97140151e-001, 1.39659286e-001
3.01373214e-001, 1.36780173e-001
3.05633426e-001, 1.36625394e-001
3.09949815e-001, 1.39081016e-001
3.14351499e-001, 1.38085455e-001
3.18867445e-001, 1.34197116e-001
3.23468298e-001, 1.32925898e-001
3.28212112e-001, 1.34976655e-001
3.33127618e-001, 1.33789018e-001
3.38301718e-001, 1.32849276e-001
3.43792140e-001, 1.31480187e-001


